,simulation_id,scenario,strategy,netlogo_seed,num_of_samples,num_of_robots,num_of_passengers,num_of_staff,fall_length,fall_chance,robot_persuasion_factor,max_netlogo_ticks,room_type,enable_video,param_seed,evacuation_ticks,evacuation_time,robot_actions,robot_responses,robot_contacts,success
91,no-support@fall-chance=0.2$robot-persuasion-factor=0_11,no-support@fall-chance=0.2$robot-persuasion-factor=0,,1656258876,20,0,800,10,500,0.2,0,2000,8,False,8967,536,15.26,[],[],0,True
92,no-support@fall-chance=0.2$robot-persuasion-factor=0_12,no-support@fall-chance=0.2$robot-persuasion-factor=0,,1398172709,20,0,800,10,500,0.2,0,2000,8,False,8967,528,15.94,[],[],0,True
93,no-support@fall-chance=0.2$robot-persuasion-factor=0_13,no-support@fall-chance=0.2$robot-persuasion-factor=0,,-1714437294,20,0,800,10,500,0.2,0,2000,8,False,8967,548,15.29,[],[],0,True
94,no-support@fall-chance=0.2$robot-persuasion-factor=0_14,no-support@fall-chance=0.2$robot-persuasion-factor=0,,-1413363835,20,0,800,10,500,0.2,0,2000,8,False,8967,548,13.14,[],[],0,True
95,no-support@fall-chance=0.2$robot-persuasion-factor=0_15,no-support@fall-chance=0.2$robot-persuasion-factor=0,,1153484291,20,0,800,10,500,0.2,0,2000,8,False,8967,561,15.71,[],[],0,True
96,no-support@fall-chance=0.2$robot-persuasion-factor=0_16,no-support@fall-chance=0.2$robot-persuasion-factor=0,,-1029802839,20,0,800,10,500,0.2,0,2000,8,False,8967,509,15.85,[],[],0,True
97,no-support@fall-chance=0.2$robot-persuasion-factor=0_17,no-support@fall-chance=0.2$robot-persuasion-factor=0,,-1944440313,20,0,800,10,500,0.2,0,2000,8,False,8967,1032,56.02,[],[],0,True
98,no-support@fall-chance=0.2$robot-persuasion-factor=0_18,no-support@fall-chance=0.2$robot-persuasion-factor=0,,38196769,20,0,800,10,500,0.2,0,2000,8,False,8967,1042,48.75,[],[],0,True
99,no-support@fall-chance=0.2$robot-persuasion-factor=0_19,no-support@fall-chance=0.2$robot-persuasion-factor=0,,478676962,20,0,800,10,500,0.2,0,2000,8,False,8967,1015,30.61,[],[],0,True
100,no-support@fall-chance=0.2$robot-persuasion-factor=1_0,no-support@fall-chance=0.2$robot-persuasion-factor=1,,-1207807381,20,0,800,10,500,0.2,1,2000,8,False,8967,525,15.47,[],[],0,True
101,no-support@fall-chance=0.2$robot-persuasion-factor=1_1,no-support@fall-chance=0.2$robot-persuasion-factor=1,,-792368376,20,0,800,10,500,0.2,1,2000,8,False,8967,1038,60.82,[],[],0,True
102,no-support@fall-chance=0.2$robot-persuasion-factor=1_2,no-support@fall-chance=0.2$robot-persuasion-factor=1,,-20676663,20,0,800,10,500,0.2,1,2000,8,False,8967,1024,43.75,[],[],0,True
103,no-support@fall-chance=0.2$robot-persuasion-factor=1_3,no-support@fall-chance=0.2$robot-persuasion-factor=1,,-66166063,20,0,800,10,500,0.2,1,2000,8,False,8967,512,15.33,[],[],0,True
104,no-support@fall-chance=0.2$robot-persuasion-factor=1_4,no-support@fall-chance=0.2$robot-persuasion-factor=1,,429628137,20,0,800,10,500,0.2,1,2000,8,False,8967,511,15.36,[],[],0,True
105,no-support@fall-chance=0.2$robot-persuasion-factor=1_5,no-support@fall-chance=0.2$robot-persuasion-factor=1,,-799265193,20,0,800,10,500,0.2,1,2000,8,False,8967,521,14.41,[],[],0,True
106,no-support@fall-chance=0.2$robot-persuasion-factor=1_6,no-support@fall-chance=0.2$robot-persuasion-factor=1,,1783571257,20,0,800,10,500,0.2,1,2000,8,False,8967,515,15.3,[],[],0,True
107,no-support@fall-chance=0.2$robot-persuasion-factor=1_7,no-support@fall-chance=0.2$robot-persuasion-factor=1,,-1506790944,20,0,800,10,500,0.2,1,2000,8,False,8967,1046,43.92,[],[],0,True
108,no-support@fall-chance=0.2$robot-persuasion-factor=1_8,no-support@fall-chance=0.2$robot-persuasion-factor=1,,-809848072,20,0,800,10,500,0.2,1,2000,8,False,8967,520,14.47,[],[],0,True
109,no-support@fall-chance=0.2$robot-persuasion-factor=1_9,no-support@fall-chance=0.2$robot-persuasion-factor=1,,-614455004,20,0,800,10,500,0.2,1,2000,8,False,8967,372,13.39,[],[],0,True
110,no-support@fall-chance=0.2$robot-persuasion-factor=1_10,no-support@fall-chance=0.2$robot-persuasion-factor=1,,1828517127,20,0,800,10,500,0.2,1,2000,8,False,8967,542,16.53,[],[],0,True
111,no-support@fall-chance=0.2$robot-persuasion-factor=1_11,no-support@fall-chance=0.2$robot-persuasion-factor=1,,1656258876,20,0,800,10,500,0.2,1,2000,8,False,8967,536,16.64,[],[],0,True
